"p_ID","Default_Names","Dead_Code","Total_Blocks"
64730658,0,0,40
64753680,1,0,213
64789204,0,0,25
64803512,1,0,36
64804910,0,2,1757
64853288,0,0,33
64871620,1,0,143
64879300,0,0,33
64927536,0,2,175
64939038,1,0,53
64961006,1,1,116
64986304,1,0,51
65062714,1,0,25
65070670,0,0,453
65083086,0,0,47
65100806,1,0,67
65145888,0,0,26
65190980,0,0,4
65218632,0,0,143
65276912,1,0,38
65291392,3,4,121
65327380,1,0,93
65330836,1,0,10
65332266,3,1,35
65346888,10,1,458
65364362,1,2,129
65374616,1,0,23
65378418,13,1,175
65383486,4,4,277
65389268,1,0,7
65389446,0,1,203
65408536,3,0,41
65411074,0,0,17
65460880,0,0,6
65479810,14,0,58
65519730,2,1,23
65552366,0,1,92
65553654,0,0,110
65559526,2,2,580
65571514,0,8,785
65604376,3,0,52
65629438,3,3,335
65657412,0,0,21
65662834,0,0,28
65682854,0,0,197
65689830,3,2,20
65697846,0,0,119
65711642,0,0,84
65713964,1,0,47
65728948,1,2,26
65750938,0,4,193
65789766,4,7,1194
65793858,0,0,38
65817714,18,9,667
65820326,1,1,455
65836350,0,0,34
65869616,0,4,681
65871118,0,0,6
65873222,2,0,102
65875872,1,0,2
65889348,1,0,28
65913886,0,0,6
65934672,1,1,42
65940144,0,0,42
65946932,0,0,37
65963794,1,0,4
65984464,24,1,354
65990552,18,0,112
66123158,0,0,48
66135664,0,3,125
66213566,0,0,390
66251582,3,0,281
66326046,4,1,159
66336328,0,2,7
66351196,1,0,20
66354362,1,0,30
66392908,18,0,147
66424596,0,0,2349
66438784,2,0,7
66469986,0,0,19
66505726,0,0,31
66505772,0,0,33
66566608,2,6,255
66579084,0,1,19
66626180,0,0,165
66632950,0,4,141
66633704,0,0,4620
66663280,0,0,8
66709008,0,0,34
66719534,0,0,41
66734298,0,1,528
66738106,1,0,25
66739142,0,0,43
66760002,0,0,31
66772702,1,31,16094
66778072,0,3,92
66831314,2,4,76
66890236,0,0,13
66937042,1,0,9
66971166,1,0,5
66971368,1,0,8
67003706,0,0,9
67011284,0,0,8
67031514,0,0,44
67053456,4,0,83
67085154,0,0,8
67156958,1,5,67
67163354,3,0,227
67175786,0,8,116
67176416,0,3,1538
67202734,1,0,6
67210022,1,0,75
67222036,3,6,141
67243646,28,0,112
67245592,0,0,13
67250604,0,20,5844
67289366,6,6,142
67320480,4,1,32
67371342,0,0,89
67375342,0,1,539
67385586,1,3,84
67390456,1,3,84
67390460,1,3,84
67392196,0,7,216
67397306,0,1,368
67407798,0,0,2
67416190,1,0,33
67454306,0,0,127
67472712,9,0,189
67511648,0,0,4
67532226,0,0,10
67532736,0,0,441
67540716,2,0,64
67542528,2,6,26
67543480,1,1,8
67552448,1,1,39
67569874,1,0,34
67590604,0,0,19
67601576,0,0,21
67617018,4,0,397
67617220,4,0,178
67645102,0,0,32
67645572,0,0,7
67675426,0,0,333
67680802,15,1,696
67751080,2,2,142
67808832,2,2,48
67816484,0,0,231
67829356,1,0,25
67852544,0,0,208
67873552,5,10,141
67878794,11,0,154
67878984,11,0,154
67976510,0,0,35
68014028,0,0,71
68048926,0,0,12
68056458,0,0,31
68068036,1,0,16
68113730,0,0,52
68134712,1,0,66
68191908,0,1,55
68211374,1,0,59
68217296,0,0,35
68231200,3,1,134
68258460,0,2,511
68259574,16,3,220
68315994,0,0,46
68329672,0,0,29
68358846,4,0,77
68360986,4,0,267
68367556,0,2,14
68433328,0,0,6
68445698,2,1,162
68499254,2,0,251
68517812,1,0,20
68520912,0,1,198
68538810,0,0,67
68558760,1,0,20
68571162,8,81,586
68574672,31,1,10114
68589288,30,1,386
68631528,1,1,79
68668572,1,0,57
68688564,65,0,656
68705750,1,0,6
68718630,1,0,19
68721306,1,0,34
68739320,13,2,246
68741454,0,0,387
68747974,0,0,22
68759142,0,0,28
68766586,5,9,68
68782374,0,0,30
68785202,0,0,12
68787348,13,0,992
68797216,35,0,1351
68803132,0,0,94
68805542,5,0,470
68810874,2,0,18
68886174,0,0,66
68908680,2,2,95
68921150,0,0,52
69001308,0,0,101
69004564,0,0,51
69036388,0,0,18
69049368,3,0,84
69069074,1,8,6053
69115968,1,0,51
69126524,0,0,9
69138932,1,0,25
69174204,56,2,571
69187486,0,0,515
69221186,0,1,15
69227558,0,0,8
69237728,0,0,57
69244808,2,0,80
69259104,0,0,59
69281164,18,1,521
69285890,2,0,71
69298306,11,0,99
69302170,1,0,15
69304574,1,0,25
69315414,3,0,69
69334730,0,0,10
69366860,0,0,70
69369942,0,0,18
69403736,1,0,29
69404918,1,0,16
69441290,2,0,16
69462662,0,2,316
69465924,0,0,39
69488278,3,0,60
69503054,0,0,35
69504698,1,0,14
69507106,6,0,67
69521858,1,1,41
69528256,0,0,130
69541952,2,0,26
69552332,1,1,29
69558080,0,0,5
69576526,2,2,34
69597852,2,0,32
69633742,0,0,31
69643922,1,2,131
69655132,0,0,26
69779806,0,0,60
69809352,1,1,55
69811732,4,0,49
69817732,0,0,466
69818866,3,0,71
69832594,0,1,5
69846274,2,0,76
69865066,0,0,25
69915472,17,0,353
69919366,0,0,25
69927206,0,2,91
69936790,0,0,32
69936946,0,0,8
69944572,1,0,49
69993114,4,0,26
70002764,4,3,50
70042202,0,4,4946
70058934,5,0,56
70060786,0,0,3
70066008,0,0,48
70081954,1,0,4
70163792,1,1,49
70198664,1,0,10
70198772,0,2,23
70261618,0,16,3205
70278126,0,0,413
70307204,0,0,16
70314370,0,0,14
70335226,0,0,92
70344448,1,0,84
70352088,0,0,4
70398750,1,0,43
70405462,3,0,82
70431976,7,2,97
70436248,0,1,130
70448194,22,37,6026
70514460,0,0,30
70521696,1,1,71
70541190,0,2,14
70550266,1,0,18
70652170,0,0,20
70658172,5,15,68
70674852,2,0,313
70698986,2,6,29
70710602,8,0,200
70719512,0,0,20
70730638,3,1,56
70745694,2,0,17
70748674,1,0,23
70751154,0,0,37
70773692,1,1,6
70776998,1,0,25
70803418,0,0,14
70831386,5,0,83
70834604,1,0,30
70836856,7,3,122
70844610,1,0,77
70854194,2,0,26
70862498,0,3,305
70875756,0,0,12
70882162,2,0,557
70887092,0,0,40
70900442,4,0,354
70947602,3,0,49
70948480,0,3,75
70965238,0,0,4663
70979586,2,0,89
70981720,8,0,156
71047774,1,0,14
71069532,11,1,192
71128532,0,7,52
71215606,2,1,228
71255810,6,3,150
71256508,0,0,88
71258250,2,0,20
71259014,5,0,279
71276600,1,0,11
71283160,0,0,36
71310876,1,0,24
71317504,1,1,79
71322934,0,0,61
71368820,4,26,724
71386574,1,0,36
71406378,1,0,16
71429096,1,0,24
71431386,1,0,40
71440116,0,0,381
71443384,4,1,12
71487970,49,14,1742
71519048,0,0,19
71563364,0,0,37
71619526,1,0,45
71676098,1,0,37
71718782,1,0,4
71794960,12,0,179
71808250,0,0,12
71824144,2,0,55
71830622,3,2,120
71837028,1,20,4946
71849100,11,10,299
71855620,0,0,44
71858290,2,0,28
71906572,0,0,98
71920232,0,0,8
71924328,0,0,8
71940054,1,0,5
71963898,2,0,11
71996444,1,0,49
72002610,0,0,2788
72022772,8,0,196
72044414,5,1,391
72052444,0,0,38
72063282,9,1,143
72089904,0,0,9
72096990,1,0,32
72117056,0,0,36
72176426,1,1,12
72177810,5,9,190
72185520,1,0,16
72243742,0,0,106
72254266,1,1,53
72292698,0,0,57
72294462,1,9,1033
72312326,1,0,35
72315320,1,0,5
72395570,1,0,128
72395598,1,0,15
